,team,home_game_count,away_team,away_game_count,home_goals,home_lost_goals,home_goals_per_game,away_lost_goals,away_goals,away_goals_per_game,total_goals,total_games,results,winning_rate
283,United Arab Emirates,288.0,United Arab Emirates,217.0,478.0,317.0,795.0,308.0,233.0,541.0,711.0,505.0,202.0,0.4
266,Tajikistan,58.0,Tajikistan,80.0,121.0,60.0,181.0,143.0,94.0,237.0,215.0,138.0,55.0,0.39855072463768115
73,DR Congo,189.0,DR Congo,264.0,346.0,180.0,526.0,378.0,340.0,718.0,686.0,453.0,180.0,0.3973509933774834
33,Bosnia and Herzegovina,101.0,Bosnia and Herzegovina,113.0,168.0,116.0,284.0,168.0,142.0,310.0,310.0,214.0,85.0,0.397196261682243
163,Mali,214.0,Mali,276.0,341.0,179.0,520.0,389.0,275.0,664.0,616.0,490.0,194.0,0.39591836734693875
296,Western Isles,11.0,Western Isles,17.0,27.0,28.0,55.0,42.0,17.0,59.0,44.0,28.0,11.0,0.39285714285714285
217,Republic of Ireland,285.0,Republic of Ireland,230.0,440.0,279.0,719.0,321.0,251.0,572.0,691.0,515.0,202.0,0.39223300970873787
78,Dominican Republic,57.0,Dominican Republic,43.0,110.0,75.0,185.0,104.0,53.0,157.0,163.0,100.0,39.0,0.39
17,Austria,315.0,Austria,248.0,548.0,386.0,934.0,429.0,334.0,763.0,882.0,563.0,219.0,0.38898756660746003
39,Bulgaria,257.0,Bulgaria,338.0,445.0,277.0,722.0,494.0,385.0,879.0,830.0,595.0,229.0,0.38487394957983195
141,Kenya,348.0,Kenya,264.0,580.0,375.0,955.0,415.0,268.0,683.0,848.0,612.0,234.0,0.38235294117647056
276,Turkey,256.0,Turkey,275.0,381.0,296.0,677.0,432.0,304.0,736.0,685.0,531.0,203.0,0.3822975517890772
135,Jamaica,266.0,Jamaica,256.0,429.0,285.0,714.0,408.0,250.0,658.0,679.0,522.0,199.0,0.38122605363984674
126,Indonesia,326.0,Indonesia,216.0,653.0,431.0,1084.0,460.0,246.0,706.0,899.0,542.0,206.0,0.3800738007380074
108,Greece,269.0,Greece,257.0,377.0,304.0,681.0,378.0,258.0,636.0,635.0,526.0,199.0,0.37832699619771865
92,Felvidék,2.0,Felvidék,6.0,2.0,4.0,6.0,10.0,6.0,16.0,8.0,8.0,3.0,0.375
196,Norway,310.0,Norway,327.0,471.0,379.0,850.0,532.0,414.0,946.0,885.0,637.0,238.0,0.37362637362637363
158,Madagascar,110.0,Madagascar,100.0,163.0,141.0,304.0,178.0,107.0,285.0,270.0,210.0,78.0,0.37142857142857144
269,Thailand,328.0,Thailand,305.0,584.0,378.0,962.0,621.0,390.0,1011.0,974.0,633.0,235.0,0.3712480252764613
277,Turkmenistan,54.0,Turkmenistan,78.0,107.0,55.0,162.0,145.0,98.0,243.0,205.0,132.0,49.0,0.3712121212121212
198,Oman,261.0,Oman,173.0,383.0,256.0,639.0,289.0,181.0,470.0,564.0,434.0,161.0,0.3709677419354839
260,Switzerland,298.0,Switzerland,284.0,477.0,382.0,859.0,442.0,334.0,776.0,811.0,582.0,215.0,0.3694158075601375
153,Libya,180.0,Libya,149.0,312.0,155.0,467.0,241.0,108.0,349.0,420.0,329.0,121.0,0.3677811550151976
106,Gotland,20.0,Gotland,10.0,67.0,42.0,109.0,15.0,14.0,29.0,81.0,30.0,11.0,0.36666666666666664
261,Syria,144.0,Syria,253.0,292.0,144.0,436.0,367.0,282.0,649.0,574.0,397.0,145.0,0.36523929471032746
115,Guinea,195.0,Guinea,264.0,343.0,167.0,510.0,400.0,280.0,680.0,623.0,459.0,167.0,0.3638344226579521
89,Ethiopia,207.0,Ethiopia,143.0,330.0,213.0,543.0,309.0,151.0,460.0,481.0,350.0,126.0,0.36
224,Réunion,39.0,Réunion,36.0,63.0,71.0,134.0,98.0,66.0,164.0,129.0,75.0,27.0,0.36
207,Paraguay,227.0,Paraguay,383.0,355.0,221.0,576.0,600.0,422.0,1022.0,777.0,610.0,216.0,0.3540983606557377
47,Cape Verde,87.0,Cape Verde,74.0,110.0,82.0,192.0,108.0,56.0,164.0,166.0,161.0,57.0,0.35403726708074534
132,Israel,235.0,Israel,178.0,373.0,293.0,666.0,292.0,226.0,518.0,599.0,413.0,146.0,0.35351089588377727
267,Tamil Eelam,7.0,Tamil Eelam,10.0,18.0,23.0,41.0,27.0,17.0,44.0,35.0,17.0,6.0,0.35294117647058826
240,Shetland,22.0,Shetland,29.0,38.0,31.0,69.0,71.0,47.0,118.0,85.0,51.0,18.0,0.35294117647058826
125,India,234.0,India,158.0,340.0,339.0,679.0,325.0,200.0,525.0,540.0,392.0,138.0,0.3520408163265306
160,Malawi,331.0,Malawi,227.0,453.0,337.0,790.0,370.0,222.0,592.0,675.0,558.0,196.0,0.35125448028673834
23,Barbados,133.0,Barbados,90.0,189.0,162.0,351.0,156.0,105.0,261.0,294.0,223.0,78.0,0.34977578475336324
29,Bermuda,83.0,Bermuda,60.0,144.0,119.0,263.0,110.0,90.0,200.0,234.0,143.0,50.0,0.34965034965034963
138,Jordan,203.0,Jordan,181.0,289.0,165.0,454.0,255.0,174.0,429.0,463.0,384.0,133.0,0.3463541666666667
244,Sint Maarten,13.0,Sint Maarten,13.0,25.0,15.0,40.0,32.0,9.0,41.0,34.0,26.0,9.0,0.34615384615384615
8,Angola,168.0,Angola,178.0,241.0,143.0,384.0,222.0,152.0,374.0,393.0,346.0,119.0,0.3439306358381503
98,Gabon,183.0,Gabon,172.0,245.0,150.0,395.0,252.0,165.0,417.0,410.0,355.0,122.0,0.3436619718309859
67,Cuba,119.0,Cuba,178.0,209.0,118.0,327.0,306.0,172.0,478.0,381.0,297.0,102.0,0.3434343434343434
60,Congo,188.0,Congo,182.0,288.0,214.0,502.0,294.0,181.0,475.0,469.0,370.0,127.0,0.34324324324324323
161,Malaysia,322.0,Malaysia,270.0,588.0,423.0,1011.0,489.0,293.0,782.0,881.0,592.0,203.0,0.34290540540540543
246,Slovenia,117.0,Slovenia,124.0,163.0,148.0,311.0,149.0,129.0,278.0,292.0,241.0,82.0,0.34024896265560167
110,Grenada,101.0,Grenada,99.0,218.0,160.0,378.0,204.0,130.0,334.0,348.0,200.0,68.0,0.34
113,Guatemala,217.0,Guatemala,192.0,340.0,236.0,576.0,314.0,162.0,476.0,502.0,409.0,138.0,0.3374083129584352
45,Canada,164.0,Canada,189.0,211.0,195.0,406.0,288.0,171.0,459.0,382.0,353.0,119.0,0.3371104815864023
229,Saint Lucia,87.0,Saint Lucia,99.0,160.0,150.0,310.0,211.0,113.0,324.0,273.0,186.0,62.0,0.3333333333333333
220,Romani people,1.0,Romani people,2.0,1.0,3.0,4.0,5.0,6.0,11.0,7.0,3.0,1.0,0.3333333333333333
20,Bahrain,284.0,Bahrain,188.0,394.0,315.0,709.0,292.0,178.0,470.0,572.0,472.0,157.0,0.3326271186440678
257,Sudan,169.0,Sudan,222.0,239.0,181.0,420.0,347.0,200.0,547.0,439.0,391.0,130.0,0.33248081841432225
122,Hong Kong,241.0,Hong Kong,140.0,409.0,363.0,772.0,269.0,168.0,437.0,577.0,381.0,126.0,0.33070866141732286
223,Rwanda,124.0,Rwanda,112.0,155.0,123.0,278.0,166.0,93.0,259.0,248.0,236.0,78.0,0.3305084745762712
293,Wales,228.0,Wales,238.0,305.0,256.0,561.0,377.0,239.0,616.0,544.0,466.0,154.0,0.33047210300429186
